"X","DATE","revenue","media1_S","media2_S","media3_S","competitor_sales","newsletter"
46,2013-06-17,2232910,1084024.8,73598.6666666667,94415.0307843027,6395275,14067
47,2013-06-24,2406035,0,80428.3333333333,108425.00086987,7711902,24098
48,2013-07-01,2252445,610420.1,0,159732.51880587,6734048,26550
49,2013-07-08,2663125,0,70207.3333333333,175977.688101301,8356638,17728
50,2013-07-15,2974771.66666667,704960.9,0,192222.857396732,8937615,13989
51,2013-07-22,2826128.33333333,0,86578.6666666667,208648.339566018,8832206,29426
52,2013-07-29,3182900,392432.9,0,159960.46149546,9584624,19401.65
53,2013-08-05,2964696.66666667,52177.9,54698,200462.815518938,9029457,19401.65
54,2013-08-12,2848525,0,31072,141956.391147518,9334174,27941
55,2013-08-19,2740160,106908,0,49694.0359385557,8234498,51273
56,2013-08-26,2380508.33333333,0,0,90910.8371980631,7904539,19606
57,2013-09-02,2230915,0,0,30356.3307500258,7127441,4453
58,2013-09-09,3659425,807907.6,0,216796.440186449,7730351,559
59,2013-09-16,2827008.33333333,307907.6,209986,128436.327738085,7498330,46507
60,2013-09-23,2042143.33333333,0,0,164189.308706815,6815506,21771
61,2013-09-30,2113358.33333333,44349.7,11517.3333333333,179631.575394137,6701008,35351
62,2013-10-07,2179918.33333333,0,80857.3333333333,195073.842081459,6998027,13998
63,2013-10-14,2370613.33333333,301837.2,0,128419.317089608,7097324,27415
64,2013-10-21,1814556.66666667,0,0,0,6048680,4085
65,2013-10-28,1951668.33333333,0,0,247813.656619212,6290401,19401.65
66,2013-11-04,1918238.33333333,0,80182.6666666667,0,6137639,19401.65
67,2013-11-11,1472390,0,0,417018.577018849,4802056,26556
68,2013-11-18,1477865,0,105208.333333333,0,4688746,12272
69,2013-11-25,1300166.66666667,77706.6,0,0,4119318,25992
70,2013-12-02,1160205,0,148903.666666667,0,3618373,22696
71,2013-12-09,1356871.66666667,0,0,78476.0531614557,4476843,26404
72,2013-12-16,1355833.33333333,0,0,0,4523389,1245
73,2013-12-23,1176266.66666667,0,0,0,3711150,1126
74,2013-12-30,1955281.66666667,56017.9,0,0,3057885,11966
75,2014-01-06,1029928.33333333,0,0,0,3309344,17897
76,2014-01-13,2263143.33333333,274671.9,0,0,2826863,6052
77,2014-01-20,813771.666666667,0,0,0,2604828,9055
78,2014-01-27,880871.666666667,0,0,0,2940496,19401.65
79,2014-02-03,919185,0,0,119356.043581121,3024982,19401.65
80,2014-02-10,826321.666666667,0,53810.3333333333,0,2681061,5778
81,2014-02-17,833798.333333333,68441,0,92761.5957523489,2609725,1988
82,2014-02-24,746271.666666667,0,0,0,2487079,4794
83,2014-03-03,1036406.66666667,271947.6,0,938.115274090074,3149223,5180
84,2014-03-10,927931.666666667,0,34945.6666666667,0,2963072,1048
85,2014-03-17,1126943.33333333,34205.7,71798,199503.414944841,3485135,10977
86,2014-03-24,1184220,0,0,0,3950566,6813
87,2014-03-31,1315508.33333333,73978.5,187181.333333333,0,3800790,2361
88,2014-04-07,1279360,0,0,0,4264348,15114
89,2014-04-14,1455811.66666667,85386.9,10893.3333333333,0,4429446,10044
90,2014-04-21,1553355,0,71004.3333333333,0,4916984,8930
91,2014-04-28,1374855,255352.9,0,0,4198833,19401.65
92,2014-05-05,1970110,0,85111.3333333333,40280.3430714441,6276021,19401.65
93,2014-05-12,2336431.66666667,884168.4,0,26967.809573429,7010039,33712
94,2014-05-19,2002065,0,0,0,6679241,20000
95,2014-05-26,2027418.33333333,366519.5,34577.6666666667,18653.0045979246,5890204,2265
96,2014-06-02,1886570,0,0,0,6289814,15924
97,2014-06-09,2529721.66666667,627478.8,0,75870.0218147959,7410667,24336
98,2014-06-16,2357930,834783.4,0,0,7799073,29510
99,2014-06-23,3003391.66666667,334783.4,138787,160457.172430985,8147766,15458
100,2014-06-30,2283685,0,0,125711.221852087,7617066,43966
101,2014-07-07,2584721.66666667,332703.8,0,141956.391147518,7756047,35016
102,2014-07-14,2565400,34839.2,0,158201.560442949,8307903,4749
103,2014-07-21,3407085,158617.6,172799.333333333,106584.448704671,9283504,25943
104,2014-07-28,2803291.66666667,0,0,228003.055403025,9355428,19401.65
105,2014-08-04,3303155,414205,10095.6666666667,98398.9246575906,9662004,19401.65
106,2014-08-11,3103743.33333333,0,72013.3333333333,73913.7972399534,9984742,41469
107,2014-08-18,2793875,216926.6,0,49694.0359385557,8430013,16136
108,2014-08-25,2260396.66666667,0,0,90910.8371980631,7544173,37784
109,2014-09-01,2399176.66666667,478117.9,0,30356.3307500258,7267249,43251
110,2014-09-08,3827520,678117.9,112758.333333333,216796.440186449,6834014,57523
111,2014-09-15,3109461.66666667,0,39687.6666666667,128436.327738085,6891431,77617
112,2014-09-22,2228128.33333333,0,0,164189.308706815,7355344,74527
113,2014-09-29,2202593.33333333,293169.3,116105,0,6360391,10394
114,2014-10-06,1918293.33333333,0,145105.666666667,0,5937052,9740
115,2014-10-13,1862458.33333333,188769,0,0,5721235,13533
116,2014-10-20,1975951.66666667,0,35601,14189.4104375883,6467565,56102
117,2014-10-27,1827318.33333333,68739.1,0,0,5749120,19401.65
118,2014-11-03,1656268.33333333,0,47335.6666666667,0,5389739,19401.65
119,2014-11-10,1703790,92670.8,75021,0,5114017,19325
120,2014-11-17,1488115,0,0,0,4961257,18078
121,2014-11-24,1727330,398401.9,153651,0,4823884,8711
122,2014-12-01,1208246.66666667,0,0,0,4036244,12979
123,2014-12-08,1388960,148078.8,22418.6666666667,0,4191403,23910
124,2014-12-15,2408331.66666667,0,0,0,3583995,10567
125,2014-12-22,1131721.66666667,0,0,0,3771321,41329
126,2014-12-29,950015,0,0,63397.8143515393,3167512,21616
127,2015-01-05,801298.333333333,0,0,0,2604407,2529
128,2015-01-12,779838.333333334,0,0,384017.91897368,2549137,6836
129,2015-01-19,889546.666666667,0,0,0,2937422,330
130,2015-01-26,862850,0,51027.3333333333,391213.423279405,2752045,19401.65
131,2015-02-02,2601601.66666667,7103.3,0,0,3080867,19401.65
132,2015-02-09,905008.333333334,0,31540.6666666667,30271.2775076413,2957153,28568
133,2015-02-16,910551.666666667,0,0,0,3035519,26708
134,2015-02-23,923853.333333333,62360.1,40685,0,2885659,7675
135,2015-03-02,982420,0,0,0,3263336,23355
136,2015-03-09,1056811.66666667,0,77881,112708.282156352,3369140,16989
137,2015-03-16,932326.666666667,109664.6,0,0,2839892,14653
138,2015-03-23,1126221.66666667,0,86159.3333333333,242394.064014475,3555964,15143
139,2015-03-30,1140006.66666667,66418.4,0,0,3590008,9013
140,2015-04-06,1479303.33333333,72966.7,38795,0,4606123,22477
141,2015-04-13,1647193.33333333,0,0,0,5494567,8906
142,2015-04-20,2009478.33333333,97811.2,54001,0,6045317,59318
143,2015-04-27,1523443.33333333,0,0,133522.511632676,5035305,19401.65
144,2015-05-04,1420118.33333333,461723.4,0,0,4208615,19401.65
145,2015-05-11,1673551.66666667,0,0,135254.195647623,5541654,48020
146,2015-05-18,2061091.66666667,87460.6,5793.33333333333,0,6397383,70855
147,2015-05-25,2144110,0,4020,0,7137648,46225
148,2015-06-01,2058653.33333333,0,72638,102086.833247381,6541298,74995
149,2015-06-08,2208345,6659.5,0,0,7283453,1047
150,2015-06-15,2603008.33333333,1175275.8,20238.3333333333,27505.3460652988,7884994,34469
151,2015-06-22,2313193.33333333,0,19423.6666666667,60475.3849432094,7610669,22232
152,2015-06-29,2813106.66666667,333671.4,7793.33333333333,73277.5989869177,8364119,49409
153,2015-07-06,2665110,0,0,0,8898789,49575
154,2015-07-13,2947875,189674.8,15961,237954.284762006,8887808,42276
155,2015-07-20,2768941.66666667,0,10916.3333333333,0,8982377,25332
156,2015-07-27,2666240,430131.9,0,261854.245872038,7958631,19401.65
157,2015-08-03,2559550,0,0,0,8467716,19401.65
158,2015-08-10,2653766.66666667,401439,113471,210107.853205335,7536793,301
159,2015-08-17,2144703.33333333,0,0,0,7097277,34832
160,2015-08-24,2451681.66666667,0,47120,0,7989344,68792
161,2015-08-31,2469486.66666667,0,0,0,8215719,37199
162,2015-09-07,3208150,1185349.3,55889.6666666667,272040.222180001,8125604,80865
163,2015-09-14,2746851.66666667,385349.3,0,0,7314043,54011
164,2015-09-21,2566165,0,6777,44274.4433338182,8498273,96236
165,2015-09-28,2554828.33333333,86879.8,5513.33333333333,0,8027598,80627
166,2015-10-05,1959706.66666667,0,21901.6666666667,85845.0660816449,6399576,629
167,2015-10-12,2424486.66666667,237573,0,0,7415825,19984
168,2015-10-19,1953060,0,32040.3333333333,0,6396016,55736
169,2015-10-26,2086935,95421.3,8939.33333333333,63309.3589794594,6492811,19401.65
170,2015-11-02,1675816.66666667,0,3762.66666666667,0,5588194,19401.65
171,2015-11-09,1976413.33333333,135907.2,4843.66666666667,0,6078682,46243
172,2015-11-16,1480760,0,0,0,4933396,36979
173,2015-11-23,1425500,41177.4,0,0,4597321,23990
174,2015-11-30,1156860,0,0,183622.273526816,3818999,16046
175,2015-12-07,1252230,26125.4,0,0,4083211,28980
176,2015-12-14,1209373.33333333,0,0,99259.6634705213,4017170,7453
177,2015-12-21,1183801.66666667,359173.6,0,0,3588301,37507
178,2015-12-28,918593.333333333,0,22471.6666666667,0,3026520,43718
179,2016-01-04,2303595,36588,0,47907.9178484821,3140648,1167
180,2016-01-11,890675,0,93494.3333333333,75393.723657443,2828444,1546
181,2016-01-18,989913.333333334,27719.2,0,0,3221944,34861
182,2016-01-25,915791.666666667,0,15928,193651.751868791,2992910,19401.65
183,2016-02-01,746205,219302.9,28421.6666666667,0,2251073,19401.65
184,2016-02-08,723785,0,0,0,2412562,21000
185,2016-02-15,903125,0,10439.3333333333,0,2989592,19903
186,2016-02-22,672250,0,0,1485.85815504597,2240235,8031
187,2016-02-29,739783.333333334,0,0,0,2467712,20173
188,2016-03-07,831833.333333334,46203.6,0,0,2672133,26938
189,2016-03-14,939896.666666667,0,0,0,3132194,8713
190,2016-03-21,946510,39527.7,0,0,3060018,17384
191,2016-03-28,1063913.33333333,0,0,0,3505139,4153
192,2016-04-04,1278223.33333333,90371.3,0,85804.2405253004,4004072,25861
193,2016-04-11,1500828.33333333,0,0,0,4982078,1820
194,2016-04-18,1843118.33333333,97574.8,0,462011.742240227,5672763,40473
195,2016-04-25,1443773.33333333,0,0,0,4783227,19401.65
196,2016-05-02,1397435,0,24152,292347.534331714,4520254,19401.65
197,2016-05-09,1930413.33333333,0,0,0,6397749,48083
198,2016-05-16,2106968.33333333,1698.1,102983.666666667,121138.759541499,6637702,34061
199,2016-05-23,2233758.33333333,369508.5,0,0,6774864,31325
200,2016-05-30,2575148.33333333,0,109532.333333333,39926.5215831248,8116568,70417
201,2016-06-06,2510951.66666667,208627.1,0,0,7702931,50905
202,2016-06-13,2275620,0,147067,0,7060116,79428
203,2016-06-20,2505161.66666667,144479.6,0,415793.810328513,7603752,58284
204,2016-06-27,2456240,0,153723.666666667,0,7612762,28157
205,2016-07-04,2182825,154917.6,0,133624.575523537,6701667,10644
206,2016-07-11,2377706.66666667,21982.5,17476,0,7688920,9597
207,2016-07-18,2732825,22453,24051.3333333333,0,8815710,90189
208,2016-07-25,2767788.33333333,0,0,366190.759369898,9067759,19401.65
